ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
52,Nariño,52621,Roberto Payan,52621912,Tamaje (Roberto Payan - Nariño),2024,6,4778,2999.0,23.02,Domingo,2024-06-16 15:45:00,8.54
52,Nariño,52835,San Andrés de Tumaco,52835055,Bocas De Curay (Tumaco - Nariño),2024,6,7922,2975.0,48.0,Viernes,2024-06-07 19:15:00,7.19
52,Nariño,52835,San Andrés de Tumaco,52835217,San Juan De La Costa (San Andrés De Tumaco - Nariño),2024,6,23815,9302.0,105.6,Viernes,2024-06-07 19:15:00,10.42
52,Nariño,52696,Santa Bárbara,52696014,La Ensenada (Santa Bárbara - Nariño),2024,6,3102,2058.0,21.73,Martes,2024-06-04 18:45:00,6.28
86,Putumayo,86573,Puerto Leguízamo,86573009,Piñuña Negro (Puerto Leguízamo - Putumayo),2024,6,2654,1590.0,22.4,Sábado,2024-06-01 19:00:00,5.3
76,Valle del Cauca,76109,Buenaventura,76109069,Papayal 1 (Buenaventura - Valle Del Cauca),2024,6,7207,1312.0,28.95,Martes,2024-06-25 20:00:00,11.01
76,Valle del Cauca,76109,Buenaventura,76109105,Pital (Buenaventura - Valle Del Cauca),2024,6,2427,656.0,9.86,Domingo,2024-06-09 15:45:00,9.42
76,Valle del Cauca,76109,Buenaventura,76109028,Puerto Merizalde (Buenaventura - Valle Del Cauca),2024,6,103108,35909.0,21.26,Lunes,2024-06-10 19:45:00,21.26
76,Valle del Cauca,76109,Buenaventura,76109081,Punta Bonita,2024,6,2799,3112.0,21.03,Sábado,2024-06-29 20:30:00,6.28
76,Valle del Cauca,76109,Buenaventura,76109032,San Francisco Naya (Buenaventura - Valle Del Cauca),2024,6,8189,3084.0,42.59,Sábado,2024-06-22 11:45:00,9.29
97,Vaupés,97161,Carurú,97161000,Carurú (Carurú - Vaupés),2024,6,20522,5140.0,82.1,Miércoles,2024-06-12 18:45:00,11.58
97,Vaupés,97001,Mitú,97001000,Mitú (Mitú - Vaupés),2024,6,1451772,366345.0,3028.54,Martes,2024-06-18 12:00:00,24.0
97,Vaupés,97666,Taraira,97666000,Taraira (Taraira - Vaupés),2024,6,34830,9545.0,130.33,Miércoles,2024-06-26 12:00:00,12.26
99,Vichada,99001,Puerto Carreño,99001000,Puerto Carreño (Puerto Carreño - Vichada),2024,6,2188361,673372.0,4794.24,Domingo,2024-06-02 20:45:00,23.56
91,Amazonas,91001,Leticia,91001000,Leticia (Leticia - Amazonas),2024,1,4059524,1044021.0,7581.08,Miércoles,2024-01-03 14:30:00,24.0
18,Caquetá,18150,Cartagena Del Chaira,18150001,Remolino Del Caguan (Cartagena Del Chaira - Caquetá),2024,5,18848,8450.0,105.92,Sábado,2024-05-11 19:30:00,7.4
18,Caquetá,18150,Cartagena Del Chaira,18150002,Santa Fe Del Caguan (Cartagena Del Chaira - Caquetá),2024,5,4355,1963.0,40.0,Viernes,2024-05-24 18:30:00,4.21
18,Caquetá,18753,San Vicente del Caguán,18753002,Guacamayas (San Vicente del Caguán - Caquetá),2024,5,8538,3679.0,34.37,Lunes,2024-05-13 18:45:00,12.26
19,Cauca,19318,Guapi,19318008,Limones (Guapi - Cauca),2024,5,8580,3745.0,42.96,Miércoles,2024-05-29 19:15:00,8.45
19,Cauca,19318,Guapi,19318013,San Antonio De Guajui (Guapi - Cauca),2024,5,10561,6131.0,52.54,Viernes,2024-05-31 19:45:00,8.27
19,Cauca,19418,López de Micay,19418009,Noanamito (López De Micay - Cauca),2024,5,7935,3763.0,36.0,Domingo,2024-05-26 19:00:00,10.36
91,Amazonas,91001,Leticia,91001000,Leticia (Leticia - Amazonas),2024,7,4175447,1065330.0,7823.49,Jueves,2024-07-25 15:30:00,24.0
91,Amazonas,91540,Puerto Nariño,91540000,Puerto Nariño (Puerto Nariño - Amazonas),2024,7,132554,42294.0,270.4,Miércoles,2024-07-24 18:15:00,24.0
91,Amazonas,91798,Tarapaca (Anm),91798000,Tarapaca (Tarapaca (Anm) - Amazonas),2024,7,26803,12169.0,101.43,Lunes,2024-07-29 14:30:00,10.17
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",88564,Providencia,88564000,Providencia (Providencia - Archipiélago De San Andrés Y Providencia ),2024,7,1308682,275839.0,2229.81,Miércoles,2024-07-10 22:30:00,24.0
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",88001,San Andrés,88001000,San Andrés (San Andrés - Archipiélago De San Andrés Y Providencia),2024,7,20194952,5047981.0,33462.36,Jueves,2024-07-25 15:45:00,24.0
13,Bolívar,13001,Cartagena De Indias,13001007,Isla Fuerte (Cartagena De Indias - Bolívar),2024,7,28683,13831.0,264.06,Lunes,2024-07-01 00:30:00,4.22
